shop_license_no,establishment_name,owner_name_masked,address,district,pin_code,registration_date,renewal_due_date,employee_count,status,phone,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
KAR-SHOP-BLRU-2021-000188,Varun Traders,Managing Partner,"No 9, B 3rd Phase, Bannerghatta Road, Bangalore Urban, Karnataka - 560076",Bengaluru Urban,560076,2021-12-06,2022-12-06,,DORMANT,,,,KAR-SHOP-BLRU-2021-000188,ENT-00279
KAR-SHOP-MYS-2023-000189,M/S Nandi Meals Enterprises,Director Masked,"#47, C 3rd Phase, Hebbal Indl Area, Mysuru, Karnataka - 570016",Mysuru,570016,2023-10-25,2026-10-24,4,DORMANT,,PAN_D8632AFDE0961CC9,,KAR-SHOP-MYS-2023-000189,ENT-00280
KAR-SHOP-BLRU-2015-000190,Aditya Meds Co,Partner 1,"110, C Behind Metro, Hebbal, B'luru Urban, Karnataka - 560024",Bengaluru Urban,560064,2015-05-07,2020-05-05,10,CLOSED,9002241214,PAN_1BFB605BF7BD8035,,KAR-SHOP-BLRU-2015-000190,ENT-00283
KAR-SHOP-MYS-2024-000191,M/S Prakruthi Packaging Enterprises,Director Masked,"No. 45, Plot Extension, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,2024-02-19,2025-02-18,25,CLOSED,,PAN_738A4D73B7A3D9C6,,KAR-SHOP-MYS-2024-000191,ENT-00284
KAR-SHOP-BLRU-2023-000192,Harsha Works,Managing Partner,"#274, Plot Sector, Yelahanka, Bangalore Urban, KA - 560064",Bengaluru Urban,560064,2023-06-19,2024-06-18,5,DORMANT,9002264971,PAN_5084A28A7216F336,,KAR-SHOP-BLRU-2023-000192,ENT-00286
KAR-SHOP-BLRU-2016-000193,M/S Prakruthi Packaging Works,Partner 1,"No. 107, D 3rd Phase, Kalyan Nagar, Bengaluru Urban, KA - 560043",Bengaluru Urban,560043,2016-12-11,2021-12-10,85,CLOSED,,,,KAR-SHOP-BLRU-2016-000193,ENT-00287
KAR-SHOP-BLRU-2024-000194,Nandi Moulding Company,Managing Partner,"No. 200, Shed Industrial Layout, Bannerghatta Road, Bengaluru Urban, KA - 560076",Bengaluru Urban,560076,2024-10-12,2029-10-11,8,ACTIVE,,,,KAR-SHOP-BLRU-2024-000194,ENT-00288
KAR-SHOP-BLRU-2022-000195,Aarohi Bakery Associates,Owner A,"14, Shed Behind Metro, Bannerghatta Road, Bengaluru Urban, K'taka - 560076",Bengaluru Urban,560076,2022-09-08,2027-09-07,,DORMANT,9002288728,,,KAR-SHOP-BLRU-2022-000195,ENT-00289
KAR-SHOP-BLRU-2015-000196,Deccan Tools Traders,Director Masked,"214, B 2nd Main, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,2015-09-19,2018-09-18,3,CLOSED,,,,KAR-SHOP-BLRU-2015-000196,ENT-00290
KAR-SHOP-BLRR-2020-000197,Lakshmi Meds Pvt Ltd,Owner B,"#279, Shed 1st Cross, Devanahalli, Bengaluru Rural, K'taka - 562110",Bengaluru Rural,562110,2020-04-07,2023-04-07,,DORMANT,,PAN_5D3E13DDB0BCBB69,GSTIN_0AAADD79C4584D25,KAR-SHOP-BLRR-2020-000197,ENT-00291
KAR-SHOP-BLRU-2020-000198,Udupi Health Works,Managing Partner,"16, C Service Road, Electronic City, B'luru Urban, Karnataka - 560100",Bengaluru Urban,560100,2020-04-26,2023-04-26,,CLOSED,9002312485,,,KAR-SHOP-BLRU-2020-000198,ENT-00292
KAR-SHOP-BLRU-2015-000199,Siddhi Works Enterprises,Owner B,"#7, C Main Road, Bannerghatta Road, B'luru Urban, Karnataka",Bengaluru Urban,560076,2015-10-28,2020-10-26,18,DORMANT,9002320404,,,KAR-SHOP-BLRU-2015-000199,ENT-00293
KAR-SHOP-BLRU-2015-000200,Lakshmi Kitchen Pvt Ltd,Managing Partner,"No. 91, A 1st Cross, Hebbal, Bengaluru Urban, KA - 560024",Bengaluru Urban,560024,2015-10-27,2020-10-25,8,CLOSED,9002336242,,GSTIN_D99EB2967262E860,KAR-SHOP-BLRU-2015-000200,ENT-00295
KAR-SHOP-BLRU-2019-000201,Mysore Health Industries,Managing Partner,"#234, Shed Near Bus Stop, Bommanahalli, B'luru Urban, Karnataka - 560068",Bengaluru Urban,560068,2019-04-22,2020-04-21,12,CLOSED,9002352080,,GSTIN_03941D2CB49CD7A4,KAR-SHOP-BLRU-2019-000201,ENT-00297
KAR-SHOP-TUM-2020-000202,Aditya Works,Director Masked,"No. 211, A 1st Crs, Antharasanahalli Industrial Area, Tumakuru, K'taka - 572106",Tumakuru,572106,2020-05-22,2023-05-22,36,CLOSED,9002359999,,,KAR-SHOP-TUM-2020-000202,ENT-00298
KAR-SHOP-BLRU-2015-000203,Srinidhi Press Works,,"No 262, Industrial Layout, Jayanagar, Bangalore Urban, KA - 560078",Bengaluru Urban,560078,2015-08-07,2018-08-06,,DORMANT,9002367918,PAN_0695D41947A6DA78,,KAR-SHOP-BLRU-2015-000203,ENT-00299
KAR-SHOP-BLRU-2016-000204,Varun Systems Solutions,Managing Partner,"No 165, D Near Bus Stop, Electronic City, Bengaluru Urban, KA - 560100",Bengaluru Urban,560100,2016-05-16,2021-05-15,2,DORMANT,9002375837,,,KAR-SHOP-BLRU-2016-000204,ENT-00300
KAR-SHOP-BLRU-2020-000205,Vijaya Fashions Pvt Ltd,Director Masked,"No 216, C Main Rd, Yelahanka, Bangalore Urban, KA - 560064",Bengaluru Urban,560064,2020-12-20,2021-12-20,,CLOSED,,PAN_0C5D219EF79CC50A,,KAR-SHOP-BLRU-2020-000205,ENT-00301
KAR-SHOP-BLRU-2025-000206,Naveen Kitchen Pvt Ltd,Partner 1,"#268, D Industrial Layout, Jayanagar, B'luru Urban, Karnataka",Bengaluru Urban,560078,2025-01-04,2028-01-04,2,ACTIVE,,,,KAR-SHOP-BLRU-2025-000206,ENT-00304
KAR-SHOP-BLRU-2021-000207,M/S Omkar Health Enterprises,Owner A,"No 149, D Service Road, Yelahanka, B'luru Urban, Karnataka - 560064",Bengaluru Urban,560064,2021-10-09,2026-10-08,,CLOSED,9002415432,PAN_4A10532E4A0D9594,,KAR-SHOP-BLRU-2021-000207,ENT-00305
KAR-SHOP-BLRU-2025-000208,M/S Udupi Cafe Pvt Ltd,Partner 1,"No. 172, B Sector, HSR Layout, B'luru Urban, Karnataka - 560102",Bengaluru Urban,560102,2025-02-04,2030-02-03,3,ACTIVE,,PAN_2E782F96A8964532,,KAR-SHOP-BLRU-2025-000208,ENT-00307
KAR-SHOP-BLRU-2024-000209,M/S Sree Mold Traders,,"#17, 1st Cross, Peenya Industrial Area, Bengaluru Urban, KA - 560058",Bengaluru Urban,560001,2024-08-04,2025-08-04,2,ACTIVE,9002439189,,,KAR-SHOP-BLRU-2024-000209,ENT-00308
KAR-SHOP-BLRU-2016-000210,Naveen Printers Solutions,Director Masked,"69, Extension, Rajajinagar Industrial Suburb, B'luru Urban, K'taka",Bengaluru Urban,560059,2016-03-20,2019-03-20,52,CLOSED,9002470865,,,KAR-SHOP-BLRU-2016-000210,ENT-00312
KAR-SHOP-BLRU-2023-000211,M/S Srinidhi Labels Company,Owner A,"No. 72, C 2nd Main, Koramangala, B'luru Urban, Karnataka",Bengaluru Urban,560034,2023-06-14,2024-06-13,52,ACTIVE,,,,KAR-SHOP-BLRU-2023-000211,ENT-00314
KAR-SHOP-BLRU-2022-000212,Nisarga Labels Pvt. Ltd.,Owner A,"#288, Plot Mn Rd, Whitefield, B'luru Urban, KA - 560037",Bengaluru Urban,560037,2022-05-18,2025-05-17,,DORMANT,9002510460,,,KAR-SHOP-BLRU-2022-000212,ENT-00317
KAR-SHOP-MYS-2024-000213,Lakshmi LLP,Managing Partner,"177, C Service Road, Hebbal Indl Area, Mysuru, Karnataka - 570016",Mysuru,570016,2024-03-21,2029-03-20,52,ACTIVE,9002518379,PAN_92FF94FCE953FC3F,,KAR-SHOP-MYS-2024-000213,ENT-00318
KAR-SHOP-BLRU-2017-000214,Ganesh Medical Solutions,Owner B,"No. 213, Plot 1st Cross, Banashankari, Bangalore Urban, KA - 560085",Bengaluru Urban,560085,2017-09-04,2022-09-03,,DORMANT,,PAN_1BA552F563543DB2,,KAR-SHOP-BLRU-2017-000214,ENT-00319
KAR-SHOP-BLRU-2016-000215,Asha Packaging Enterprises,Partner 1,"150, A Sector, Whitefield Main Road, Bengaluru Urban, Karnataka - 560066",Bengaluru Urban,560066,2016-10-10,2017-10-10,,CLOSED,9002542136,,GSTIN_3143A7FEA3B2960E,KAR-SHOP-BLRU-2016-000215,ENT-00321
KAR-SHOP-MYS-2018-000216,Nisarga Circuits Entp,Owner B,"239, C Extension, Nanjangud Road, Mysuru, KA - 570018",Mysuru,570018,2018-05-08,2023-05-07,,CLOSED,,,,KAR-SHOP-MYS-2018-000216,ENT-00322
KAR-SHOP-BLRU-2021-000217,Varun Industries,Owner A,"No. 206, C Industrial Layout, Jayanagar, Bengaluru Urban, KA - 560078",Bengaluru Urban,560078,2021-02-28,2022-02-28,12,ACTIVE,9002565893,,,KAR-SHOP-BLRU-2021-000217,ENT-00324
KAR-SHOP-BLRU-2023-000218,Naveen Medical Solutions,Director Masked,"158, Extension, HSR Layout, Bengaluru Urban, K'taka - 560102",Bengaluru Urban,560102,2023-04-05,2026-04-04,,ACTIVE,,,,KAR-SHOP-BLRU-2023-000218,ENT-00325
